'자전거번호','대여일시','대여대여소번호','대여대여소명','대여거치대','반납일시','반납대여소번호','반납대여소명','반납거치대','이용시간(분)','이용거리(M)'
'SPB-05277','2018-01-01 00:31:54','1210',' 롯데월드타워(잠실역2번출구 쪽)',8,'2018-01-01 01:21:27','590',' 건국대학교 (입학정보관)',3,49,4910
'SPB-13414','2018-01-01 00:32:07','1210',' 롯데월드타워(잠실역2번출구 쪽)',14,'2018-01-01 01:05:29','1020',' 강동경찰서',8,32,4220
'SPB-10575','2018-01-01 00:32:09','1215',' 올림픽공원역 1번출구 앞',14,'2018-01-01 01:05:00','1026',' 대명초교 입구 교차로',2,32,4950
'SPB-02738','2018-01-01 00:32:21','1233',' 잠실3거리(갤러리아팰리스)',1,'2018-01-01 00:40:34','1221',' 삼전사거리 포스코더샵',3,7,950
'SPB-09043','2018-01-01 00:32:24','322',' 명동성당 앞',10,'2018-01-01 01:50:09','183',' 하늘채코오롱아파트 건너편',14,73,10330
'SPB-07421','2018-01-01 00:32:32','815',' LIG강촌아파트 103동앞',10,'2018-01-01 00:57:27','816',' 신용산역 6번출구 앞',7,23,2740
'SPB-05042','2018-01-01 00:32:50','1210',' 롯데월드타워(잠실역2번출구 쪽)',15,'2018-01-01 00:49:41','1222',' 잠실새내역 5번 출구 뒤',4,16,1680
'SPB-08737','2018-01-01 00:32:51','342',' 대학로 마로니에공원',5,'2018-01-01 00:37:24','344',' 성균관대 E하우스 앞',4,4,940
'SPB-09803','2018-01-01 00:33:15','822',' 이촌1동 마을공원',5,'2018-01-01 01:29:38','813',' 삼각지역 3번출구',14,55,1930
'SPB-11050','2018-01-01 00:33:25','1210',' 롯데월드타워(잠실역2번출구 쪽)',12,'2018-01-01 01:00:40','1218',' 방이역 4번출구',2,26,3710
'SPB-03632','2018-01-01 00:33:28','1210',' 롯데월드타워(잠실역2번출구 쪽)',3,'2018-01-01 01:04:22','1012',' 서울 상운차량',8,30,4260
'SPB-12107','2018-01-01 00:33:32','1018',' 둔촌 주공 GS 맞은편',3,'2018-01-01 00:45:27','1218',' 방이역 4번출구',5,11,2090
'SPB-02242','2018-01-01 00:33:36','176',' 명지대학교 도서관',5,'2018-01-01 01:01:19','150',' 서강대역 2번출구 앞',8,27,5120
'SPB-13407','2018-01-01 00:34:35','2348',' 포스코사거리(기업은행)',3,'2018-01-01 01:16:38','2231',' 삼성타운(삼성생명) A동 맞은편',7,41,4400
'SPB-06552','2018-01-01 00:34:38','559',' 왕십리역 4번 출구 건너편',2,'2018-01-01 00:51:12','1308',' 안암로터리 버스정류장 앞',6,16,3160
'SPB-03209','2018-01-01 00:34:44','815',' LIG강촌아파트 103동앞',18,'2018-01-01 00:57:53','816',' 신용산역 6번출구 앞',10,22,2730
'SPB-02678','2018-01-01 00:35:17','1124',' 발산역 6번출구옆(다이소앞)',4,'2018-01-01 01:03:38','1141',' 곰달래 문화복지센터 1-1',8,28,3740
'SPB-08297','2018-01-01 00:35:20','1124',' 발산역 6번출구옆(다이소앞)',3,'2018-01-01 01:03:45','1141',' 곰달래 문화복지센터 1-1',6,26,3680
'SPB-08972','2018-01-01 00:35:24','2348',' 포스코사거리(기업은행)',1,'2018-01-01 01:16:37','2231',' 삼성타운(삼성생명) A동 맞은편',5,39,3970
'SPB-09620','2018-01-01 00:35:25','815',' LIG강촌아파트 103동앞',20,'2018-01-01 01:03:11','2015',' 신대방삼거리역 6번출구쪽',7,27,6380
'SPB-12534','2018-01-01 00:35:26','2115',' 관악농협농산물백화점',9,'2018-01-01 00:39:05','1955',' 디지털입구 교차로',8,3,810
'SPB-13085','2018-01-01 00:35:38','3508',' 화양사거리',1,'2018-01-01 01:15:43','1401',' 극동늘푸른아파트',5,37,8340
'SPB-12790','2018-01-01 00:35:45','576',' 광나루역 3번 출구',2,'2018-01-01 00:40:32','551',' 구의삼성쉐르빌 앞',5,4,1090
